TVD,SP,DEV,DGA,QT,TENS,RT1,POR,RA45,AC,M4R2,GR,PE,QCAL
2356.296,71.116,34.444,-9999,0.234,1186.537,0.228,-9999,0.075,261.889,0.814,69.559,6.865,1.004
2356.398,71.265,34.442,-9999,0.237,1188.629,0.225,-9999,0.082,248.676,0.8,68.031,6.904,1.003
2356.501,71.668,34.436,-9999,0.239,1190.023,0.22,-9999,0.099,240.078,0.789,67.122,6.935,1.003
2356.604,71.925,34.425,-9999,0.242,1192.114,0.215,-9999,0.122,239.841,0.781,67.221,6.915,1.003
2356.706,72.22,34.43,-9999,0.245,1195.6,0.207,-9999,0.146,247.091,0.777,67.55,6.89,1.002
2356.809,72.552,34.442,-9999,0.247,1196.297,0.204,-9999,0.136,261.25,0.776,67.455,6.887,1.003
2356.911,73.318,34.447,-9999,0.25,1196.297,0.202,-9999,0.115,273.582,0.777,67.335,6.907,1.003
2357.013,73.744,34.447,-9999,0.253,1195.6,0.2,-9999,0.09,277.645,0.78,67.802,6.922,1.003
2357.116,74.189,34.458,-9999,0.256,1195.6,0.204,-9999,0.073,275.842,0.783,68.341,6.9,1.003
2357.218,74.649,34.478,-9999,0.258,1195.6,0.207,-9999,0.081,272.896,0.786,68.649,6.841,1.003
2357.32,75.591,34.5,-9999,0.261,1195.6,0.21,-9999,0.102,269.596,0.785,69.107,6.828,1.004
2357.423,76.069,34.511,-9999,0.264,1194.903,0.21,-9999,0.12,272.51,0.779,69.907,6.939,1.004
2357.525,76.551,34.511,-9999,0.266,1194.903,0.21,-9999,0.115,278.965,0.767,70.438,7.089,1.004
2357.627,77.036,34.517,-9999,0.269,1195.6,0.21,-9999,0.097,281.909,0.749,69.838,7.226,1.004
2357.729,77.991,34.525,-9999,0.271,1196.994,0.21,-9999,0.074,280.131,0.728,68.074,7.364,1.004
2357.831,78.444,34.539,-9999,0.274,1197.691,0.21,-9999,0.057,275.824,0.706,65.423,7.49,1.004
2357.933,78.869,34.542,-9999,0.277,1199.086,0.21,-9999,0.062,269.839,0.684,62.664,7.574,1.004
2358.035,79.262,34.542,-9999,0.277,1198.389,0.21,-9999,0.082,266.331,0.664,61.257,7.628,1.004
2358.137,79.95,34.547,-9999,0.278,1197.691,0.21,-9999,0.63,263.986,0.645,62.857,7.604,1.004
2358.24,80.247,34.558,-9999,0.279,1196.297,0.21,-9999,0.651,260.366,0.625,66.807,7.415,1.004
2358.342,80.514,34.589,-9999,0.28,1192.811,0.21,-9999,0.683,262.602,0.606,70.274,7.208,1.004
2358.444,80.75,34.603,-9999,0.281,1191.417,0.21,-9999,0.71,273.038,0.587,70.86,7.104,1.004
2358.546,81.13,34.611,-9999,0.281,1191.417,0.21,-9999,0.763,280.874,0.569,69.399,7.046,1.004
2358.648,81.275,34.619,-9999,0.282,1192.811,0.21,-9999,0.791,283.299,0.554,68.023,7.02,1.005
2358.75,81.393,34.614,-9999,0.283,1195.6,0.204,-9999,0.827,284.472,0.541,68.029,7.049,1.006
2358.852,81.483,34.611,-9999,0.283,1196.297,0.202,-9999,0.877,277.112,0.531,68.86,7.11,1.006
2358.954,81.585,34.614,-9999,0.283,1196.297,0.2,-9999,1.006,258.488,0.523,69.529,7.149,1.006
2359.056,81.604,34.617,-9999,0.283,1196.297,0.199,-9999,1.072,241.659,0.516,69.016,7.164,1.006
2359.158,81.612,34.611,-9999,0.283,1195.6,0.202,-9999,1.122,235.584,0.511,68.155,7.194,1.006
2359.26,81.62,34.608,-9999,0.283,1194.903,0.209,-9999,1.15,235.137,0.507,67.91,7.226,1.006
2359.362,81.688,34.605,-9999,0.283,1194.206,0.212,-9999,1.153,239.72,0.504,67.866,7.217,1.006
2359.464,81.762,34.605,-9999,0.283,1193.509,0.216,-9999,1.145,250.937,0.503,67.572,7.197,1.007
2359.566,81.866,34.611,-9999,0.283,1193.509,0.221,-9999,1.149,262.338,0.502,67.495,7.208,1.007
2359.668,81.995,34.605,-9999,0.282,1193.509,0.22,-9999,1.165,264.046,0.503,68.508,7.162,1.007
2359.77,82.306,34.597,-9999,0.282,1192.114,0.218,-9999,1.203,261.881,0.505,70.239,7.11,1.006
2359.872,82.474,34.592,-9999,0.281,1191.417,0.216,-9999,1.21,269.773,0.508,71.217,7.245,1.006
2359.973,82.643,34.614,-9999,0.28,1190.72,0.205,-9999,1.2,288.528,0.51,70.877,7.701,1.005
2360.075,82.805,34.628,-9999,0.28,1192.114,0.197,-9999,1.174,304.335,0.514,70.208,8.012,1.005
2360.177,83.091,34.642,-9999,0.279,1194.206,0.192,-9999,1.097,315.306,0.517,70.203,7.826,1.005
2360.279,83.203,34.65,-9999,0.279,1196.297,0.192,-9999,1.069,318.634,0.521,70.35,7.227,1.005
2360.381,83.285,34.647,-9999,0.278,1197.691,0.189,-9999,0.106,306.158,0.525,69.945,6.831,1.005
2360.483,83.334,34.647,-9999,0.277,1196.297,0.19,-9999,0.115,279.488,0.529,69.632,6.858,1.005
