TVD,SP,DGA,QT,DEV,TENS,RT1,POR,RA45,PE,M4R2,GR,AC,QCAL
2566.407,17.754,2.917,0.259,35.294,1286.229,3.871,15.541,0.961,5.642,1.326,107.688,307.583,1
2566.509,17.777,2.917,0.251,35.3,1284.137,3.898,13.559,0.961,5.818,1.314,105.759,305.685,1
2566.611,17.844,2.914,0.244,35.308,1281.349,3.92,12.796,0.966,6.11,1.303,104.134,303.456,1
2566.713,17.89,2.914,0.236,35.319,1279.257,3.94,12.323,0.975,6.544,1.289,104.049,301.391,1
2566.815,17.94,2.913,0.229,35.336,1276.469,3.967,11.824,0.905,7.015,1.273,104.436,300.798,1
2566.917,17.777,2.903,0.235,35.344,1276.469,3.968,11.524,0.914,7.315,1.255,103.968,301.474,1
2567.019,17.844,2.89,0.242,35.347,1278.56,3.969,11.376,0.925,7.284,1.237,103.186,302.332,1
2567.121,17.89,2.884,0.248,35.344,1281.349,3.967,11.387,0.931,6.89,1.22,103.925,303.329,1
2567.223,17.94,2.917,0.255,35.347,1287.623,3.969,11.141,0.932,6.279,1.204,106.537,304.678,1
2567.325,17.724,2.914,0.261,35.353,1293.897,3.976,11.152,0.914,5.702,1.189,110.114,305.694,1.001
2567.427,17.631,2.914,0.268,35.353,1298.777,3.987,11.316,0.908,5.42,1.178,113.087,305.004,1.001
2567.529,17.464,2.913,0.274,35.358,1302.96,4.002,11.64,0.906,5.471,1.17,114.378,301.703,1.001
2567.631,17.39,2.917,0.205,35.353,1314.114,4.033,11.749,0.911,5.672,1.164,113.053,297.766,1
2567.733,17.325,2.914,0.212,35.355,1318.994,4.049,11.442,0.932,5.784,1.159,109.701,295.573,1
2567.834,17.724,2.914,0.219,35.361,1321.783,4.063,11.414,0.926,5.84,1.157,106.554,296.369,1.001
2567.937,17.631,2.913,0.226,35.369,1321.086,4.077,11.298,0.909,5.901,1.157,105.577,299.375,1
2568.038,17.464,2.874,0.23,35.38,1317.6,4.111,11.068,0.882,5.927,1.159,106.336,303.893,1
2568.14,17.39,2.881,0.233,35.38,1312.72,4.128,11.02,0.836,5.916,1.163,107.496,307.833,1
