DGA,QT,RT1,POR,RA45,PE,M4R2,QCAL
2.928,0.234,0.228,0.022,0.075,15.541,0.814,1.004
2.928,0.237,0.225,0.022,0.082,15.532,0.8,1.003
2.928,0.239,0.22,0.022,0.099,15.527,0.789,1.003
2.928,0.242,0.215,0.022,0.122,15.526,0.781,1.003
2.928,0.245,0.207,0.022,0.146,15.547,0.777,1.002
2.928,0.247,0.204,0.022,0.136,15.601,0.776,1.003
2.928,0.25,0.202,0.022,0.115,15.681,0.777,1.003
2.928,0.253,0.2,0.022,0.09,15.765,0.78,1.003
2.928,0.256,0.204,0.022,0.073,15.841,0.783,1.003
2.928,0.258,0.207,0.022,0.081,15.9,0.786,1.003
2.928,0.261,0.21,0.022,0.102,15.942,0.785,1.004
2.928,0.264,0.21,0.022,0.12,15.973,0.779,1.004
2.928,0.266,0.21,0.022,0.115,15.998,0.767,1.004
2.928,0.269,0.21,0.022,0.097,16.012,0.749,1.004
2.928,0.271,0.21,0.022,0.074,16.006,0.728,1.004
2.928,0.274,0.21,0.022,0.057,15.997,0.706,1.004
2.928,0.277,0.21,0.022,0.062,16.004,0.684,1.004
2.928,0.277,0.21,0.022,0.082,16.032,0.664,1.004
2.928,0.278,0.21,0.022,0.101,16.065,0.645,1.004
2.928,0.279,0.21,0.022,0.11,16.089,0.625,1.004
2.928,0.28,0.21,0.022,0.098,16.09,0.606,1.004
2.928,0.281,0.21,0.022,0.076,16.056,0.587,1.004
2.928,0.281,0.21,0.022,0.058,15.989,0.569,1.004
2.928,0.282,0.21,0.022,0.055,15.897,0.554,1.005
2.928,0.283,0.204,0.022,0.08,15.793,0.541,1.006
2.928,0.283,0.202,0.022,0.102,15.682,0.531,1.006
2.928,0.283,0.2,0.022,0.113,15.577,0.523,1.006
2.928,0.283,0.199,0.022,0.111,15.49,0.516,1.006
2.928,0.283,0.202,0.022,0.065,15.427,0.511,1.006
2.928,0.283,0.209,0.022,0.043,15.386,0.507,1.006
2.928,0.283,0.212,0.022,0.034,15.361,0.504,1.006
2.928,0.283,0.216,0.022,0.04,15.347,0.503,1.007
2.928,0.283,0.221,0.022,0.092,15.336,0.502,1.007
2.928,0.282,0.22,0.022,0.115,15.32,0.503,1.007
2.928,0.282,0.218,0.022,0.125,15.296,0.505,1.006
2.928,0.281,0.216,0.022,0.12,15.271,0.508,1.006
2.928,0.28,0.205,0.022,0.078,15.251,0.51,1.005
2.928,0.28,0.197,0.022,0.062,15.236,0.514,1.005
2.928,0.279,0.192,0.022,0.057,15.212,0.517,1.005
2.928,0.279,0.192,0.022,0.067,15.166,0.521,1.005
2.928,0.278,0.189,0.022,0.106,15.116,0.525,1.005
2.928,0.277,0.19,0.022,0.115,15.093,0.529,1.005
2.928,0.275,0.192,0.022,0.118,15.107,0.535,1.005
2.928,0.274,0.198,0.022,0.11,15.144,0.541,1.005
2.928,0.272,0.217,0.022,0.089,15.182,0.549,1.005
2.928,0.271,0.221,0.022,0.091,15.206,0.556,1.005
2.928,0.27,0.224,0.022,0.1,15.224,0.562,1.005
2.928,0.268,0.223,0.022,0.117,15.251,0.568,1.005
2.928,0.267,0.219,0.022,0.136,15.293,0.573,1.005
2.928,0.263,0.216,0.022,0.131,15.34,0.577,1.005
2.928,0.26,0.215,0.022,0.113,15.382,0.581,1.005
2.928,0.256,0.217,0.022,0.088,15.41,0.585,1.005
2.928,0.252,0.218,0.022,0.072,15.425,0.589,1.005
2.928,0.249,0.221,0.022,0.079,15.429,0.593,1.005
2.928,0.245,0.223,0.022,0.097,15.413,0.596,1.005
2.928,0.241,0.221,0.022,0.115,15.385,0.598,1.005
2.928,0.238,0.208,0.022,0.108,15.363,0.598,1.005
2.928,0.236,0.199,0.022,0.091,15.354,0.596,1.005
2.928,0.233,0.195,0.022,0.065,15.346,0.593,1.005
