TVD,SP1,DGA,QT,DEV,TENS,RT1,POR,RA45,PE,M4R2,GR1,AC,QCAL,RXO,M1RX,CNL,CN,KTH,RMSL,Y
2356.296,71.116,2.928,0.234,34.444,1186.537,0.228,0.022,0.075,15.541,0.814,69.559,261.889,1.004,0.804,46.377,54.568,49.446,61.183,0.1,1
2356.398,71.265,2.928,0.237,34.442,1188.629,0.225,0.022,0.082,15.532,0.8,68.031,248.676,1.003,0.784,54.74,54.029,49.128,59.737,0.1,4
2356.501,71.668,2.928,0.239,34.436,1190.023,0.22,0.022,0.099,15.527,0.789,67.122,240.078,1.003,0.773,95.249,55.566,50.01,58.594,0.1,4
2356.604,71.925,2.928,0.242,34.425,1192.114,0.215,0.022,0.122,15.526,0.781,67.221,239.841,1.003,0.767,2.794,58.529,51.634,58.859,0.1,4
2356.706,72.22,2.928,0.245,34.43,1195.6,0.207,0.022,0.146,15.547,0.777,67.55,247.091,1.002,0.764,2.794,60.873,52.841,59.836,0.1,4
2356.809,72.552,2.928,0.247,34.442,1196.297,0.204,0.022,0.136,15.601,0.776,67.455,261.25,1.003,0.76,2.794,62.058,53.416,60.024,0.1,4
2356.911,73.318,2.928,0.25,34.447,1196.297,0.202,0.022,0.115,15.681,0.777,67.335,273.582,1.003,0.758,2.794,62.986,53.852,59.181,0.1,4
2357.013,73.744,2.928,0.253,34.447,1195.6,0.2,0.022,0.09,15.765,0.78,67.802,277.645,1.003,0.763,2.794,62.822,53.772,58.802,0.1,4
2357.116,74.189,2.928,0.256,34.458,1195.6,0.204,0.022,0.073,15.841,0.783,68.341,275.842,1.003,0.774,2.794,60.407,52.587,59.571,0.1,4
2357.218,74.649,2.928,0.258,34.478,1195.6,0.207,0.022,0.081,15.9,0.786,68.649,272.896,1.003,0.794,2.794,56.885,50.743,60.878,0.1,4
2357.32,75.591,2.928,0.261,34.5,1195.6,0.21,0.022,0.102,15.942,0.785,69.107,269.596,1.004,0.814,2.794,54.13,49.18,61.353,0.1,4
2357.423,76.069,2.928,0.264,34.511,1194.903,0.21,0.022,0.12,15.973,0.779,69.907,272.51,1.004,0.829,2.794,52.792,48.375,60.965,0.1,4
2357.525,76.551,2.928,0.266,34.511,1194.903,0.21,0.022,0.115,15.998,0.767,70.438,278.965,1.004,0.822,2.794,52.886,48.433,60.496,0.1,4
2357.627,77.036,2.928,0.269,34.517,1195.6,0.21,0.022,0.097,16.012,0.749,69.838,281.909,1.004,0.785,2.794,53.434,48.77,60.449,0.1,4
2357.729,77.991,2.928,0.271,34.525,1196.994,0.21,0.022,0.074,16.006,0.728,68.074,280.131,1.004,0.732,2.794,53.3,48.688,59.944,0.1,4
2357.831,78.444,2.928,0.274,34.539,1197.691,0.21,0.022,0.057,15.997,0.706,65.423,275.824,1.004,0.691,2.794,52.655,48.29,56.9,0.1,4
2357.933,78.869,2.928,0.277,34.542,1199.086,0.21,0.022,0.062,16.004,0.684,62.664,269.839,1.004,0.678,2.794,52.493,48.189,52.178,0.1,4
2358.035,79.262,2.928,0.277,34.542,1198.389,0.21,0.022,0.082,16.032,0.664,61.257,266.331,1.004,0.682,2.794,52.518,48.205,48.51,0.1,4
2358.137,79.95,2.928,0.278,34.547,1197.691,0.21,0.022,0.101,16.065,0.645,62.857,263.986,1.004,0.678,2.794,51.514,47.558,47.925,0.1,4
2358.24,80.247,2.928,0.279,34.558,1196.297,0.21,0.022,0.11,16.089,0.625,66.807,260.366,1.004,0.66,67.328,50.021,46.581,49.168,0.1,4
2358.342,80.514,2.928,0.28,34.589,1192.811,0.21,0.022,0.098,16.09,0.606,70.274,262.602,1.004,0.624,17.184,50.118,46.643,50.771,0.1,4
2358.444,80.75,2.928,0.281,34.603,1191.417,0.21,0.022,0.076,16.056,0.587,70.86,273.038,1.004,0.585,10.594,52.216,47.992,51.574,0.1,4
2358.546,81.13,2.928,0.281,34.611,1191.417,0.21,0.022,0.058,15.989,0.569,69.399,280.874,1.004,0.551,8.512,54.864,49.609,51.68,0.1,4
2358.648,81.275,2.928,0.282,34.619,1192.811,0.21,0.022,0.055,15.897,0.554,68.023,283.299,1.005,0.53,8.22,56.579,50.597,52.024,0.1,4
2358.75,81.393,2.928,0.283,34.614,1195.6,0.204,0.022,0.08,15.793,0.541,68.029,284.472,1.006,0.521,8.895,57.162,50.921,53.414,0.1,4
2358.852,81.483,2.928,0.283,34.611,1196.297,0.202,0.022,0.102,15.682,0.531,68.86,277.112,1.006,0.516,10.346,57.627,51.171,54.952,0.1,4
2358.954,81.585,2.928,0.283,34.614,1196.297,0.2,0.022,0.113,15.577,0.523,69.529,258.488,1.006,0.513,13.136,59.051,51.917,55.264,0.1,4
2359.056,81.604,2.928,0.283,34.617,1196.297,0.199,0.022,0.111,15.49,0.516,69.016,241.659,1.006,0.507,17.496,61.545,53.154,55.157,0.1,4
2359.158,81.612,2.928,0.283,34.611,1195.6,0.202,0.022,0.065,15.427,0.511,68.155,235.584,1.006,0.501,26.061,63.862,54.247,55.514,0.1,4
2359.26,81.62,2.928,0.283,34.608,1194.903,0.209,0.022,0.043,15.386,0.507,67.91,235.137,1.006,0.496,53.315,63.603,54.129,56.326,0.1,4
2359.362,81.688,2.928,0.283,34.605,1194.206,0.212,0.022,0.034,15.361,0.504,67.866,239.72,1.006,0.492,279.417,60.57,52.664,56.918,0.1,4
2359.464,81.762,2.928,0.283,34.605,1193.509,0.216,0.022,0.04,15.347,0.503,67.572,250.937,1.007,0.491,2.794,57.239,50.943,57.484,0.1,4
2359.566,81.866,2.928,0.283,34.611,1193.509,0.221,0.022,0.092,15.336,0.502,67.495,262.338,1.007,0.49,2.794,55.246,49.84,58.329,0.1,4
2359.668,81.995,2.928,0.282,34.605,1193.509,0.22,0.022,0.115,15.32,0.503,68.508,264.046,1.007,0.492,2.794,54.274,49.274,58.462,0.1,4
2359.77,82.306,2.928,0.282,34.597,1192.114,0.218,0.022,0.125,15.296,0.505,70.239,261.881,1.006,0.495,2.794,53.377,48.733,56.542,0.1,4
2359.872,82.474,2.928,0.281,34.592,1191.417,0.216,0.022,0.12,15.271,0.508,71.217,269.773,1.006,0.5,2.794,52.672,48.3,53.722,0.1,4
2359.973,82.643,2.928,0.28,34.614,1190.72,0.205,0.022,0.078,15.251,0.51,70.877,288.528,1.005,0.507,2.794,52.851,48.411,51.57,0.1,4
2360.075,82.805,2.928,0.28,34.628,1192.114,0.197,0.022,0.062,15.236,0.514,70.208,304.335,1.005,0.512,2.794,53.357,48.723,51.634,0.1,4
2360.177,83.091,2.928,0.279,34.642,1194.206,0.192,0.022,0.057,15.212,0.517,70.203,315.306,1.005,0.517,2.794,53.333,48.709,53.681,0.1,4
2360.279,83.203,2.928,0.279,34.65,1196.297,0.192,0.022,0.067,15.166,0.521,70.35,318.634,1.005,0.519,2.794,52.709,48.322,56.528,0.1,4
2360.381,83.285,2.928,0.278,34.647,1197.691,0.189,0.022,0.106,15.116,0.525,69.945,306.158,1.005,0.52,2.794,51.545,47.582,58.145,0.1,4
2360.483,83.334,2.928,0.277,34.647,1196.297,0.19,0.022,0.115,15.093,0.529,69.632,279.488,1.005,0.522,2.794,50.214,46.709,57.757,0.1,4
2360.584,83.329,2.928,0.275,34.653,1194.206,0.192,0.022,0.118,15.107,0.535,70.54,259.236,1.005,0.527,2.794,49.637,46.324,56.264,0.1,4
2360.686,83.29,2.928,0.274,34.653,1190.72,0.198,0.022,0.11,15.144,0.541,71.858,252.443,1.005,0.534,2.794,50.341,46.795,55.162,0.1,4
2360.788,83.242,2.928,0.272,34.655,1183.749,0.217,0.022,0.089,15.182,0.549,71.739,254.092,1.005,0.545,2.794,51.989,47.862,54.76,0.1,4
2360.89,83.196,2.928,0.271,34.664,1181.657,0.221,0.022,0.091,15.206,0.556,69.894,259.754,1.005,0.556,2.794,53.741,48.949,54.452,0.1,4
2360.992,83.135,2.928,0.27,34.672,1180.96,0.224,0.022,0.1,15.224,0.562,67.513,266.933,1.005,0.568,2.794,54.863,49.622,54.167,0.1,4
2361.094,83.119,2.928,0.268,34.68,1181.657,0.223,0.022,0.117,15.251,0.568,66.673,268.911,1.005,0.579,2.794,54.993,49.698,54.151,0.1,4
2361.195,83.107,2.928,0.267,34.7,1183.052,0.219,0.022,0.136,15.293,0.573,67.777,266.055,1.005,0.585,2.794,54.643,49.493,54.741,0.1,4
2361.297,83.097,2.928,0.263,34.703,1183.052,0.216,0.022,0.131,15.34,0.577,69.289,263.462,1.005,0.584,2.794,54.821,49.597,55.872,0.1,4
2361.398,83.068,2.928,0.26,34.708,1183.749,0.215,0.022,0.113,15.382,0.581,69.876,263.23,1.005,0.577,2.794,55.546,50.016,57.314,0.1,4
2361.5,83.044,2.928,0.256,34.717,1184.446,0.217,0.022,0.088,15.41,0.585,70.083,259.429,1.005,0.575,2.794,55.553,50.021,59.115,0.1,4
2361.602,83.013,2.928,0.252,34.725,1187.234,0.218,0.022,0.072,15.425,0.589,70.506,255.353,1.005,0.581,2.794,54.433,49.365,61.386,0.1,4
2361.703,82.975,2.928,0.249,34.719,1189.326,0.221,0.022,0.079,15.429,0.593,70.52,260.231,1.005,0.596,2.794,53.073,48.545,63.433,0.1,4
2361.805,82.868,2.928,0.245,34.717,1192.114,0.223,0.022,0.097,15.413,0.596,69.766,264.302,1.005,0.61,2.794,52.073,47.924,64.346,0.1,4
2361.906,82.791,2.928,0.241,34.714,1194.206,0.221,0.022,0.115,15.385,0.598,69.226,259.941,1.005,0.616,2.794,51.856,47.787,64.538,0.1,4
2362.008,82.69,2.928,0.238,34.733,1196.297,0.208,0.022,0.108,15.363,0.598,69.559,258.758,1.005,0.613,2.794,52.219,48.016,64.614,0.1,4
2362.11,82.561,2.928,0.236,34.747,1195.6,0.199,0.022,0.091,15.354,0.596,70.519,258.079,1.005,0.606,2.794,52.145,47.97,64.479,0.1,4
2362.211,82.211,2.928,0.233,34.758,1194.903,0.195,0.022,0.065,15.346,0.593,71.47,246.227,1.005,0.599,2.794,50.778,47.078,63.688,0.1,4
2362.313,81.997,2.928,0.231,34.775,1194.206,0.191,0.022,0.044,15.331,0.588,71.827,231.008,1.005,0.594,2.794,48.911,45.815,62.443,0.1,4
2362.414,81.765,2.928,0.229,34.83,1191.417,0.195,0.022,0.043,15.308,0.582,70.977,220.714,1.005,0.589,2.794,48.194,45.32,61.739,0.1,4
2362.516,81.524,2.928,0.227,34.853,1190.72,0.2,0.022,0.06,15.285,0.575,69.242,217.108,1.005,0.583,2.794,49.057,45.92,61.256,0.1,4
2362.617,81.052,2.928,0.224,34.869,1191.417,0.204,0.022,0.083,15.266,0.567,67.293,216.571,1.005,0.575,2.794,50.127,46.652,60.604,0.1,4
2362.719,80.838,2.928,0.222,34.875,1192.114,0.207,0.022,0.095,15.244,0.56,66.084,216.437,1.005,0.564,103.048,49.183,46.003,59.846,0.1,4
2362.82,80.647,2.928,0.22,34.858,1192.811,0.212,0.022,0.089,15.212,0.553,66.264,216,1.005,0.55,66.961,46.961,44.411,59.429,0.1,4
