X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
2356.296,71.116,2.928,0.234,34.444,1186.537,0.228,0.022,0.075,15.541,0.814,69.559,261.889,1.004,1
2356.398,71.265,2.928,0.237,34.442,1188.629,0.225,0.022,0.082,15.532,0.8,68.031,248.676,1.003,4
2356.501,71.668,2.928,0.239,34.436,1190.023,0.22,0.022,0.099,15.527,0.789,67.122,240.078,1.003,4
2356.604,71.925,2.928,0.242,34.425,1192.114,0.215,0.022,0.122,15.526,0.781,67.221,239.841,1.003,4
2356.706,72.22,2.928,0.245,34.43,1195.6,0.207,0.022,0.146,15.547,0.777,67.55,247.091,1.002,4
2356.809,72.552,2.928,0.247,34.442,1196.297,0.204,0.022,0.136,15.601,0.776,67.455,261.25,1.003,4
2356.911,73.318,2.928,0.25,34.447,1196.297,0.202,0.022,0.115,15.681,0.777,67.335,273.582,1.003,4
2357.013,73.744,2.928,0.253,34.447,1195.6,0.2,0.022,0.09,15.765,0.78,67.802,277.645,1.003,4
2357.116,74.189,2.928,0.256,34.458,1195.6,0.204,0.022,0.073,15.841,0.783,68.341,275.842,1.003,4
2357.218,74.649,2.928,0.258,34.478,1195.6,0.207,0.022,0.081,15.9,0.786,68.649,272.896,1.003,4
2357.32,75.591,2.928,0.261,34.5,1195.6,0.21,0.022,0.102,15.942,0.785,69.107,269.596,1.004,4
2357.423,76.069,2.928,0.264,34.511,1194.903,0.21,0.022,0.12,15.973,0.779,69.907,272.51,1.004,4
2357.525,76.551,2.928,0.266,34.511,1194.903,0.21,0.022,0.115,15.998,0.767,70.438,278.965,1.004,4
2357.627,77.036,2.928,0.269,34.517,1195.6,0.21,0.022,0.097,16.012,0.749,69.838,281.909,1.004,4
2357.729,77.991,2.928,0.271,34.525,1196.994,0.21,0.022,0.074,16.006,0.728,68.074,280.131,1.004,4
2357.831,78.444,2.928,0.274,34.539,1197.691,0.21,0.022,0.057,15.997,0.706,65.423,275.824,1.004,4
2357.933,78.869,2.928,0.277,34.542,1199.086,0.21,0.022,0.062,16.004,0.684,62.664,269.839,1.004,4
2358.035,79.262,2.928,0.277,34.542,1198.389,0.21,0.022,0.082,16.032,0.664,61.257,266.331,1.004,4
2358.137,79.95,2.928,0.278,34.547,1197.691,0.21,0.022,0.101,16.065,0.645,62.857,263.986,1.004,4
2358.24,80.247,2.928,0.279,34.558,1196.297,0.21,0.022,0.11,16.089,0.625,66.807,260.366,1.004,4
2358.342,80.514,2.928,0.28,34.589,1192.811,0.21,0.022,0.098,16.09,0.606,70.274,262.602,1.004,4
2358.444,80.75,2.928,0.281,34.603,1191.417,0.21,0.022,0.076,16.056,0.587,70.86,273.038,1.004,4
2358.546,81.13,2.928,0.281,34.611,1191.417,0.21,0.022,0.058,15.989,0.569,69.399,280.874,1.004,4
2358.648,81.275,2.928,0.282,34.619,1192.811,0.21,0.022,0.055,15.897,0.554,68.023,283.299,1.005,4
2358.75,81.393,2.928,0.283,34.614,1195.6,0.204,0.022,0.08,15.793,0.541,68.029,284.472,1.006,4
2358.852,81.483,2.928,0.283,34.611,1196.297,0.202,0.022,0.102,15.682,0.531,68.86,277.112,1.006,4
2358.954,81.585,2.928,0.283,34.614,1196.297,0.2,0.022,0.113,15.577,0.523,69.529,258.488,1.006,4
2359.056,81.604,2.928,0.283,34.617,1196.297,0.199,0.022,0.111,15.49,0.516,69.016,241.659,1.006,4
2359.158,81.612,2.928,0.283,34.611,1195.6,0.202,0.022,0.065,15.427,0.511,68.155,235.584,1.006,4
2359.26,81.62,2.928,0.283,34.608,1194.903,0.209,0.022,0.043,15.386,0.507,67.91,235.137,1.006,4
2359.362,81.688,2.928,0.283,34.605,1194.206,0.212,0.022,0.034,15.361,0.504,67.866,239.72,1.006,4
2359.464,81.762,2.928,0.283,34.605,1193.509,0.216,0.022,0.04,15.347,0.503,67.572,250.937,1.007,4
