DGA,POR,Y
2.928,0.022,1
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.928,0.022,4
2.709,27.248,4
2.709,27.248,4
2.709,27.421,4
2.71,27.525,4
2.711,27.457,4
2.713,27.322,4
2.717,26.841,4
2.725,25.75,4
2.733,24.475,4
2.74,22.929,4
2.749,20.471,4
2.76,17.59,4
2.763,16.822,4
2.749,20.248,4
2.72,26.079,4
2.69,30.763,4
2.676,32.606,4
2.679,32.785,4
2.697,31.977,1
2.745,27.389,1
2.8,20.87,1
2.829,17.249,1
2.833,16.766,1
2.818,18.67,1
2.793,21.696,1
2.769,24.554,1
2.76,25.642,1
2.765,25.05,1
2.775,23.824,1
2.777,23.587,1
2.776,23.773,1
2.78,23.226,1
2.791,21.894,1
2.802,20.612,1
2.804,20.278,1
2.797,21.137,1
2.793,21.689,1
2.807,19.654,1
2.831,15.597,1
2.855,12.421,1
2.861,11.261,1
2.844,12.089,1
2.816,13.484,1
2.799,14.021,1
2.801,13.557,1
2.82,12.385,1
2.844,11.096,1
2.863,9.902,1
2.88,8.266,1
2.9,3.83,1
2.926,0.305,1
2.941,0.02,1
2.934,0.046,1
2.93,0.124,1
2.95,0.017,1
2.976,0.008,1
2.975,0.008,1
2.932,0.022,1
2.898,3.225,1
2.888,5.545,1
2.892,4.894,1
2.897,3.778,1
2.9,3.272,1
2.912,1.442,1
2.937,0.021,1
2.954,0.016,1
2.935,0.031,1
2.905,2.272,1
2.889,4.724,1
2.893,3.449,1
2.902,1.46,1
2.893,2.097,1
2.872,5.075,1
2.857,6.808,1
2.854,6.241,1
2.855,3.356,1
2.843,0.561,1
2.845,0.031,1
2.857,1.609,1
2.83,5.594,1
2.792,8.271,1
2.766,10.752,1
2.752,12.647,4
2.751,13.857,4
2.756,14.678,4
2.754,15.774,4
2.734,17.839,4
2.704,20.637,4
2.678,23.217,4
2.665,24.51,4
2.665,24.326,4
2.673,23.118,4
2.686,21.644,4
2.708,20.066,4
2.734,18.422,4
2.759,16.863,4
2.778,15.672,4
2.792,15.101,4
2.768,17.478,4
2.756,19.197,4
