X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y
225.392,27.821,46.774,11.917,2.44,12.047,0.922,4.649,10.517,10.1985,12.718,2
227.1,27.837,47.594,11.552,2.46,12.248,0.916,5.702,10.453,10.1985,13.887,2
230.103,27.796,48.423,11.211,2.491,12.439,1.01,6.639,10.659,10.1985,14.588,2
233.563,27.748,50.912,10.988,2.524,12.618,1.221,7.296,11.249,10.1985,14.379,2
238.342,27.684,58.514,10.974,2.535,12.913,1.444,7.543,12.238,10.1985,13.327,2
283.37,23.009,114.812,24.545,2.594,9.187,0.869,3.409,22.548,10.1985,2.973,2
284.969,23.108,109.887,24.24,2.581,9.141,1.066,3.701,21.57,10.1985,3.148,2
283.089,23.148,102.487,23.659,2.557,9.11,1.192,3.634,20.369,10.1985,3.33,2
279.193,23.188,93.296,22.782,2.539,9.101,1.315,3.511,19.128,10.1985,3.49,2
274.252,23.235,84.119,21.648,2.536,9.123,1.481,3.498,18.108,10.1985,3.613,2
265.41,23.371,77.98,20.391,2.544,9.161,1.621,3.657,17.389,10.1985,3.694,2
251.408,23.468,75.346,19.245,2.555,9.213,1.605,4.01,17.003,10.1985,3.742,2
237.494,23.582,75.861,18.373,2.562,9.319,1.336,4.429,16.954,10.1985,3.786,2
228.35,23.706,79.286,17.83,2.567,9.358,1.002,4.587,17.228,10.1985,3.844,2
226.596,23.96,86.301,17.632,2.568,9.375,0.851,4.341,17.838,10.1985,3.909,2
235.158,24.081,96.932,17.773,2.57,9.368,0.821,3.86,18.605,10.1985,3.954,2
252.537,24.196,107.333,18.254,2.573,9.283,0.801,3.424,19.432,10.1985,3.949,2
230.641,17.782,88.055,16.298,2.474,14.465,1.348,6.082,14.153,10.1985,5.351,2
223.703,17.689,84.239,15.406,2.455,14.426,1.544,8.693,13.851,10.1985,5.683,2
222.933,17.626,81.31,14.788,2.455,14.442,1.708,9.175,13.811,10.1985,5.971,2
226.259,17.549,79.227,14.452,2.478,14.541,1.891,7.606,14.012,10.1985,6.201,2
231.855,17.461,79.147,14.387,2.512,14.594,2.03,5.416,14.386,10.1985,6.341,2
237.882,17.276,82.183,14.573,2.533,14.623,2.079,4.222,14.848,10.1985,6.359,2
240.805,17.184,86.949,14.943,2.524,14.623,2.021,4.299,15.377,10.1985,6.242,2
240.771,17.09,90.522,15.41,2.494,14.512,1.851,5.214,15.968,10.1985,5.985,2
240.55,16.991,90.933,15.949,2.468,14.414,1.717,5.989,16.629,10.1985,5.653,2
241.129,16.763,90.57,16.552,2.461,14.284,1.785,5.893,17.354,10.1985,5.306,2
245.715,16.635,92.934,17.226,2.468,14.121,2.063,4.888,17.996,10.1985,4.993,2
255.62,16.507,98.545,17.967,2.478,13.736,2.411,3.699,18.349,10.1985,4.742,2
216.7,16.278,91.773,12.273,2.52,12.893,1.729,5.377,11.714,10.1985,6.421,2
223.41,16.37,81.655,12.031,2.507,13.043,1.326,4.432,12.231,10.1985,6.395,2
230.586,16.427,76.448,12.218,2.502,13.178,0.854,4.052,12.945,10.1985,6.195,2
238.708,16.487,77.67,12.733,2.503,13.365,0.665,4.266,13.749,10.1985,5.913,2
245.903,16.545,85.235,13.457,2.507,13.403,0.659,4.755,14.533,10.1985,5.659,2
249.477,16.627,94.415,14.28,2.514,13.403,0.66,5.07,15.184,10.1985,5.452,2
251.117,16.649,101.118,15.086,2.527,13.371,0.666,5.012,15.617,10.1985,5.278,2
251.725,16.665,102.955,15.763,2.543,13.266,0.814,4.588,15.93,10.1985,5.113,2
258.819,18.318,118.514,14.028,2.538,10.402,1.575,3.544,11.124,10.1985,4.353,2
241.583,18.71,110.519,12.518,2.542,10.449,1.332,4.558,10.757,10.1985,4.817,2
227.948,18.9,98.335,11.629,2.547,10.568,1.071,6.83,10.827,10.1985,5.44,2
217.358,19.085,83.808,11.247,2.551,10.983,0.966,10.834,11.315,10.1985,6.145,2
210.635,19.262,71.403,11.318,2.551,11.246,1.001,2.4005,12.205,10.1985,6.693,2
210.205,19.576,63.752,11.864,2.552,11.523,1.181,2.4005,13.523,10.1985,6.921,2
214.495,19.7,61.157,12.866,2.555,11.795,1.591,10.613,15.246,10.1985,6.805,2
221.329,19.796,63.994,14.346,2.555,12.244,2.058,8.325,17.122,10.1985,6.432,2
231.628,19.862,71.894,16.233,2.551,12.395,2.42,6.358,18.89,10.1985,6.025,2
244.504,19.906,83.927,18.226,2.547,12.496,2.632,5.071,20.273,10.1985,5.691,2
257.278,19.884,96.985,20.013,2.547,12.551,2.813,4.368,21.023,10.1985,5.4,2
267.119,19.833,107.828,21.279,2.557,12.533,3.06,3.989,20.97,10.1985,5.115,2
259.478,16.352,110.002,16.165,2.448,11.747,0.825,4.61,14.621,10.1985,4.982,2
250.343,16.006,101.837,16.098,2.443,11.652,0.73,4.865,13.779,10.1985,5.242,2
239.217,15.884,90.541,14.296,2.453,11.586,0.674,4.384,13.052,10.1985,5.565,2
228.456,15.795,81.036,13.535,2.482,11.547,0.664,4.006,12.503,10.1985,5.927,2
219.92,15.733,76.323,13.002,2.521,11.574,0.673,4.362,12.287,10.1985,6.275,2
216.491,15.666,77.143,12.842,2.553,11.63,0.678,5.795,12.392,10.1985,6.534,2
218.96,15.642,80.122,13.046,2.553,11.701,0.674,8.202,12.83,10.1985,6.614,2
224.937,15.615,83.135,13.618,2.524,11.839,0.675,8.55,13.576,10.1985,6.409,2
233.396,15.582,86.657,14.513,2.5,11.89,0.649,6.397,14.565,10.1985,6.137,2
244.915,15.503,92.591,15.622,2.507,11.928,0.639,4.154,15.656,10.1985,5.818,2
256.446,15.465,100.834,16.717,2.536,11.951,0.696,3.05,16.578,10.1985,5.504,2
262.137,15.431,107.131,17.566,2.553,12.007,0.828,3.303,17.228,10.1985,5.256,2
258.748,15.402,107.598,18.119,2.537,12.058,1.001,4.408,17.623,10.1985,5.098,2
250.134,15.347,102.126,18.441,2.501,12.132,1.2,5.399,17.852,10.1985,5.01,2
242.612,15.317,96.692,18.671,2.474,12.226,1.414,5.295,18.057,10.1985,4.938,2
240.041,15.282,95.885,18.993,2.468,12.444,1.527,4.453,18.401,10.1985,4.849,2
246.166,16.428,106.882,10.909,2.512,12.296,0.822,4.329,11.481,10.1985,5.891,2
235.453,16.838,98.462,10.05,2.501,12.432,0.663,4.652,10.606,10.1985,6.184,2
222.756,17.068,89.263,9.409,2.482,12.595,0.558,5.216,9.84,10.1985,6.428,2
212.121,17.31,82.998,9.101,2.47,12.908,0.481,5.932,9.198,10.1985,6.603,2
207.922,17.558,83.125,9.269,2.469,13.018,0.452,6.407,8.772,10.1985,6.661,2
212.583,18.067,90.512,9.821,2.476,13.065,0.468,6.246,8.623,10.1985,6.545,2
225.054,18.322,101.091,10.712,2.49,13.047,0.508,5.331,8.832,10.1985,6.186,2
241.93,18.574,110.753,11.998,2.512,12.799,0.596,4.624,9.467,10.1985,5.623,2
266.07,21.122,113.295,16.867,2.462,10.57,1.818,4.036,15.935,10.1985,3.997,2
261.892,21.295,103.23,15.607,2.473,10.597,1.609,4.614,14.749,10.1985,4.299,2
261.846,21.388,88.098,14.833,2.499,10.639,1.404,4.791,14.076,10.1985,4.615,2
262.594,21.49,73.406,14.516,2.524,10.795,1.229,4.513,13.882,10.1985,4.934,2
259.177,21.601,67.088,14.591,2.534,10.907,0.964,4.507,14.081,10.1985,5.314,2
247.836,21.836,71.33,14.953,2.517,11.037,0.709,4.832,14.545,10.1985,5.84,2
231.794,21.949,80.61,15.367,2.486,11.179,0.64,5.529,14.936,10.1985,6.6,2
217.626,22.054,85.363,15.513,2.457,11.461,0.654,6.611,14.889,10.1985,7.68,2
213.22,22.151,80.939,15.195,2.439,11.587,0.649,8.057,14.297,10.1985,9.163,2
220.019,22.332,69.914,14.4,2.432,11.699,0.685,9.03,13.238,10.1985,11.17,2
231.771,22.428,59.758,13.253,2.429,11.8,0.8,9.226,11.921,10.1985,13.382,2
239.905,22.534,54.811,11.986,2.426,12.007,0.958,9.641,10.678,10.1985,15.486,2
240.975,22.653,55.045,10.865,2.423,12.127,1.141,11.033,9.75,10.1985,17.148,2
235.066,22.916,57.195,10.041,2.421,12.286,1.303,2.4005,9.14,10.1985,18.046,2
226.169,23.047,58.771,9.519,2.421,12.474,1.445,2.4005,8.859,66.414,17.816,2
221.492,23.166,59.638,9.306,2.422,12.994,1.571,2.4005,8.908,66.414,16.901,2
224.027,23.268,61.144,9.4,2.424,13.33,1.649,9.927,9.277,63.581,15.364,2
228.721,23.415,64.74,9.8,2.435,13.687,1.614,8.46,10.005,60.931,13.519,2
231.007,23.461,72.279,10.53,2.458,14.051,1.502,8.311,10.958,59.353,11.679,2
233.721,23.488,82.949,11.469,2.523,14.719,1.346,8.675,12.025,58.191,10.065,2
239.129,23.493,92.439,12.518,2.568,15.017,1.162,8.028,13.098,59.356,8.906,2
243.203,23.418,93.992,13.572,2.584,15.27,1.0,6.342,14.073,64.107,8.115,2
243.111,23.335,90.516,14.538,2.596,15.489,0.867,5.014,14.85,67.995,7.634,2
241.889,23.223,87.796,15.325,2.609,15.895,0.762,4.572,15.353,69.709,7.389,2
241.339,23.086,85.905,15.864,2.623,16.082,0.767,5.015,15.59,73.081,7.298,2
238.581,22.766,79.502,16.151,2.639,16.29,0.943,5.929,15.534,76.656,7.284,2
235.848,22.593,67.632,16.169,2.655,16.503,1.104,6.478,15.186,77.344,7.277,2
240.201,22.412,57.29,15.913,2.67,16.885,1.176,6.256,14.581,73.892,7.263,2
250.812,22.222,52.763,15.405,2.679,17.038,1.315,5.618,13.818,68.32,7.245,2
258.78,21.792,52.496,14.715,2.683,17.171,1.502,5.06,13.126,36.956,7.217,2
260.537,21.546,53.072,14.005,2.682,17.302,1.559,5.054,12.628,26.152,7.166,2
257.067,21.279,54.0,13.424,2.674,17.551,1.246,5.584,12.402,18.998,7.045,2
249.209,20.997,57.393,13.062,2.661,17.709,0.874,6.082,12.497,4.12,6.843,2
237.463,20.419,66.013,12.976,2.646,17.887,0.675,6.174,12.94,4.254,6.586,2
227.183,20.134,79.832,13.202,2.632,18.069,0.688,5.819,13.746,15.526,6.308,2
226.161,19.853,93.596,13.761,2.619,18.347,0.695,5.214,14.752,20.309,6.035,2
240.613,15.752,90.776,14.369,2.644,10.873,1.336,5.099,10.851,20.846,5.618,2
231.874,16.102,75.471,13.089,2.641,10.948,1.438,5.032,10.378,18.587,6.263,2
223.465,16.323,62.226,12.044,2.633,11.061,1.55,5.089,10.299,14.27,7.113,2
217.492,16.578,54.157,11.281,2.621,11.398,1.668,5.818,10.558,9.52,8.162,2
211.197,16.866,51.338,10.85,2.609,11.61,1.822,7.77,11.161,7.56,9.331,2
205.605,17.524,52.898,10.775,2.598,11.845,1.987,10.798,12.103,8.636,10.232,2
205.755,17.882,57.739,11.053,2.587,12.087,2.07,2.4005,13.365,10.789,10.622,2
210.625,18.251,66.153,11.696,2.576,12.552,2.016,12.056,14.902,11.193,10.537,2
216.82,18.629,77.746,12.698,2.565,12.746,1.877,9.178,16.472,10.877,10.057,2
224.101,19.422,88.713,14.037,2.554,12.896,1.642,5.989,17.892,11.802,9.271,2
232.532,19.845,96.68,15.647,2.543,13.001,1.346,4.589,19.049,13.961,8.315,2
240.775,20.289,102.495,17.27,2.533,13.047,1.107,4.069,19.878,15.907,7.437,2
249.563,25.362,66.149,17.136,2.517,12.521,0.843,5.813,12.27,16.392,6.379,2
241.391,26.164,58.479,15.426,2.52,12.716,0.813,5.099,11.108,15.126,6.643,2
236.824,26.538,53.977,13.815,2.518,12.948,0.778,4.237,10.24,14.281,7.037,2
234.297,26.891,50.827,12.419,2.512,13.459,0.788,3.688,9.684,21.548,7.672,2
232.33,27.225,48.425,11.306,2.504,13.703,0.851,3.556,9.487,28.06,8.654,2
230.546,27.852,47.028,10.512,2.493,13.918,0.961,3.828,9.54,24.532,10.094,2
228.804,28.152,46.494,10.069,2.482,14.105,1.096,4.475,9.799,23.111,12.121,2
227.267,28.446,46.256,9.963,2.471,14.396,1.259,5.419,10.21,25.381,14.912,2
227.058,28.734,46.687,10.105,2.46,14.497,1.387,6.227,10.712,31.855,18.044,2
229.346,29.293,49.152,10.442,2.451,14.584,1.47,6.733,11.232,39.946,21.02,2
232.985,29.569,54.186,10.913,2.445,14.649,1.508,7.022,11.684,46.419,23.343,2
235.818,29.847,60.329,11.446,2.445,14.743,1.526,7.309,12.04,49.978,24.609,2
238.202,30.132,66.095,11.957,2.449,14.781,1.531,7.587,12.287,46.977,24.653,2
241.778,30.737,70.324,12.38,2.458,14.821,1.551,7.007,12.429,42.333,24.133,2
245.702,31.059,71.995,12.695,2.468,14.87,1.586,5.944,12.481,37.717,23.524,2
246.713,31.39,70.803,12.895,2.477,14.996,1.62,5.091,12.474,32.104,22.911,2
243.392,31.725,67.008,12.993,2.483,15.075,1.634,4.895,12.473,23.796,22.254,2
238.901,32.388,62.525,13.013,2.486,15.157,1.616,5.232,12.508,19.824,21.43,2
234.751,32.708,58.732,13.009,2.487,15.245,1.499,5.015,12.599,20.907,20.18,2
230.786,33.015,56.285,13.031,2.486,15.44,1.08,4.188,12.746,21.466,18.682,2
