Depth,AC(us/m),SP(MV),POR(%),GR(API),CNL£¨¦µ%£©
2356.296,261.889,71.116,11.261,69.559,54.568
2356.398,248.676,71.265,11.2335,68.031,54.029
2356.501,240.078,71.668,11.206,67.122,55.566
2356.604,239.841,71.925,11.1785,67.221,58.529
2356.706,247.091,72.22,11.151,67.55,60.873
2356.809,261.25,72.552,11.1235,67.455,62.058
2356.911,273.582,73.318,11.096,67.335,62.986
2357.013,277.645,73.744,9.902,67.802,62.822
2357.116,275.842,74.189,8.266,68.341,60.407
2357.218,272.896,74.649,3.83,68.649,56.885
2357.32,269.596,75.591,0.305,69.107,54.13
2357.423,272.51,76.069,0.02,69.907,52.792
2357.525,278.965,76.551,0.046,70.438,52.886
2357.627,281.909,77.036,0.124,69.838,53.434
2357.729,280.131,77.991,0.017,68.074,53.3
2357.831,275.824,78.444,0.008,65.423,52.655
2357.933,269.839,78.869,0.008,62.664,52.493
2358.035,266.331,79.262,0.022,61.257,52.518
2358.137,263.986,79.95,3.225,62.857,51.514
2358.24,260.366,80.247,5.545,66.807,50.021
2358.342,262.602,80.514,4.894,70.274,50.118
2358.444,273.038,80.75,3.778,70.86,52.216
2358.546,280.874,81.13,3.272,69.399,54.864
2358.648,283.299,81.275,1.442,68.023,56.579
2358.75,284.472,81.393,0.021,68.029,57.162
2358.852,277.112,81.483,0.016,68.86,57.627
2358.954,258.488,81.585,0.031,69.529,59.051
2359.056,241.659,81.604,2.272,69.016,61.545
2359.158,235.584,81.612,4.724,68.155,63.862
2359.26,235.137,81.62,3.449,67.91,63.603
2359.362,239.72,81.688,1.46,67.866,60.57
2359.464,250.937,81.762,2.097,67.572,57.239
2359.566,262.338,81.866,5.075,67.495,55.246
2359.668,264.046,81.995,6.808,68.508,54.274
2359.77,261.881,82.306,6.241,70.239,53.377
2359.872,269.773,82.474,3.356,71.217,52.672
2359.973,288.528,82.643,0.561,70.877,52.851
2360.075,304.335,82.805,0.031,70.208,53.357
2360.177,315.306,83.091,1.609,70.203,53.333
2360.279,318.634,83.203,5.594,70.35,52.709
2360.381,306.158,83.285,8.271,69.945,51.545
2360.483,279.488,83.334,10.752,69.632,50.214
2360.584,259.236,83.329,10.76886486,70.54,49.637
2360.686,252.443,83.29,10.78572973,71.858,50.341
2360.788,254.092,83.242,10.80259459,71.739,51.989
2360.89,259.754,83.196,10.81945946,69.894,53.741
2360.992,266.933,83.135,10.83632432,67.513,54.863
2361.094,268.911,83.119,10.85318919,66.673,54.993
2361.195,266.055,83.107,10.87005405,67.777,54.643
2361.297,263.462,83.097,10.88691892,69.289,54.821
2361.398,263.23,83.068,10.90378378,69.876,55.546
2361.5,259.429,83.044,10.92064865,70.083,55.553
2361.602,255.353,83.013,10.93751351,70.506,54.433
2361.703,260.231,82.975,10.95437838,70.52,53.073
2361.805,264.302,82.868,10.97124324,69.766,52.073
2361.906,259.941,82.791,10.98810811,69.226,51.856
2362.008,258.758,82.69,11.00497297,69.559,52.219
2362.11,258.079,82.561,11.02183784,70.519,52.145
2362.211,246.227,82.211,11.0387027,71.47,50.778
2362.313,231.008,81.997,11.05556757,71.827,48.911
2362.414,220.714,81.765,11.07243243,70.977,48.194
2362.516,217.108,81.524,11.0892973,69.242,49.057
2362.617,216.571,81.052,11.10616216,67.293,50.127
2362.719,216.437,80.838,11.12302703,66.084,49.183
2362.82,216,80.647,11.13989189,66.264,46.961
2362.922,215.963,80.484,11.15675676,67.718,46.061
2363.023,215.206,80.228,11.17362162,68.857,47.905
2363.125,214.435,80.123,11.19048649,68.888,50.037
2363.226,215.445,80.024,11.20735135,68.061,49.363
2363.327,216.248,79.925,11.22421622,67.018,46.984
2363.428,214.09,79.723,11.24108108,66.02,46.211
2363.53,211.489,79.623,11.25794595,65.615,47.893
2363.631,212.833,79.526,11.27481081,67.121,49.638
2363.732,215.459,79.432,11.29167568,69.764,49.59
2363.833,215.414,79.237,11.30854054,70.999,48.34
2363.934,211.624,79.125,11.32540541,70.644,47.378
2364.035,206.39,78.998,11.34227027,70.221,46.778
2364.136,202.337,78.852,11.2919527,70.178,45.897
2364.237,202.035,78.514,11.24163514,68.552,45.015
2364.338,205.299,78.329,11.19131757,65.052,45.05
2364.439,211.831,78.139,11.141,62.404,47.146
2364.541,219.443,77.945,11.152,61.646,51.355
2364.642,224.565,77.539,11.316,62.063,55.333
2364.743,225.836,77.316,11.3124,63.474,55.187
2364.844,225.823,77.071,11.3088,65.822,52.077
2364.945,225.119,76.799,11.3052,67.625,49.102
2365.046,224.597,76.163,11.3016,67.947,47.063
2365.146,224.929,75.797,11.298,67.635,45.528
2365.248,227.872,75.398,11.068,67.776,44.535
2365.348,236.752,74.963,11.02,68.361,44.79
2365.449,247.467,73.963,11.122,69.16,46.212
2365.55,256.254,73.382,11.12178947,70.038,48.444
2365.651,267.129,72.732,11.12157895,70.94,51.44
2365.752,279.924,72.004,11.12136842,72.053,55.467
2365.853,289.791,70.294,11.12115789,73.634,59.98
2365.954,299.137,69.321,11.12094737,74.785,63.378
2366.054,308.84,68.287,11.12073684,74.579,64.6
2366.155,318.718,67.211,11.12052632,73.422,64.181
2366.256,329.843,65.009,11.12031579,72.494,62.512
2366.357,338.244,63.924,11.12010526,72.604,59.218
2366.458,345.001,62.88,11.11989474,72.638,55.15
2366.559,356.631,61.907,11.11968421,71.138,52.11
2366.659,370.114,60.254,11.11947368,67.503,50.656
2366.76,382.042,59.559,11.11926316,65.174,50.31
2366.861,391.886,58.892,11.11905263,67.879,50.832
2366.962,394.085,58.178,11.11884211,75.898,52.178
2367.063,388.621,56.306,11.11863158,85.283,53.225
2367.163,379.238,55.044,11.11842105,92.589,53.447
2367.264,368.112,53.547,11.11821053,96.033,52.795
2367.365,360.821,51.83,11.118,96.472,52.007
2367.466,358.606,47.876,11.11778947,94.72,51.101
2367.567,357.952,45.731,11.11757895,91.756,50.108
2367.667,358.851,43.558,11.11736842,88.691,49.627
2367.768,364.629,41.446,11.11715789,87.434,49.373
2367.869,378.41,37.777,11.11694737,88.125,48.669
2367.97,394.714,36.365,11.11673684,89.504,47.363
2368.071,408.613,35.264,11.11652632,89.763,45.57
2368.172,414.882,34.445,11.11631579,89.56,44.365
2368.272,410.596,33.394,11.11610526,90.154,43.766
2368.373,400.132,33.036,11.11589474,91.553,43.327
2368.474,389.107,32.734,11.11568421,92.845,42.576
2368.575,376.776,32.465,11.11547368,93.174,41.175
2368.676,367.97,31.984,11.11526316,92.322,39.396
2368.776,362.439,31.756,11.11505263,91.763,37.132
2368.877,353.011,31.525,11.11484211,93.192,34.469
2368.978,340.931,31.283,11.11463158,96.131,31.931
2369.079,330.789,30.715,11.11442105,99.158,29.859
2369.18,321.86,30.364,11.11421053,99.97,28.568
2369.282,316.419,29.958,11.114,98.198,27.902
2369.383,315.327,29.5,9.936,94.8,27.558
2369.485,316.957,28.493,9.506,92.178,27.462
2369.586,320.207,27.998,9.599,92.039,27.79
2369.688,323.877,27.545,9.822,94.329,28.727
2369.789,326.953,27.157,10.09,97.025,29.869
2369.891,330.421,26.613,10.736,99.144,30.455
2369.992,334.472,26.461,11.2,101.162,30.119
2370.094,338.271,26.382,11.208,103.974,29.262
2370.195,341.534,26.367,11.216,106.791,28.436
2370.297,342.751,26.488,11.224,107.934,27.923
2370.398,339.626,26.608,11.232,107.447,27.737
2370.5,335.27,26.759,11.24,107.176,27.804
2370.601,332.262,26.937,11.248,108.543,27.843
2370.703,328.72,27.364,11.256,110.308,27.493
2370.804,324.71,27.612,11.264,110.29,26.809
2370.906,322.874,27.881,11.272,107.579,26.353
2371.007,322.031,28.172,11.28,104.217,26.533
2371.109,320.117,28.814,11.288,102.828,27.133
2371.211,318.16,29.163,11.296,103.242,27.534
2371.313,317.516,29.534,11.304,103.9,27.437
2371.414,317.23,29.932,11.312,104.191,27.23
2371.516,316.424,30.848,11.32,105.48,27.389
2371.618,315.871,31.378,11.328,107.697,27.886
2371.719,315.776,31.957,11.336,108.793,28.133
2371.821,315.62,32.583,11.344,107.526,27.723
2371.923,315.67,33.971,11.352,104.907,26.999
2372.024,315.646,34.74,11.1825,103.382,26.394
2372.126,315.42,35.57,11.013,104.11,25.838
2372.228,316.431,36.475,10.844,105.424,24.992
2372.329,319.502,38.566,10.899,104.853,24.025
2372.431,322.71,39.774,10.8815,102.753,23.231
2372.533,325.013,41.097,10.864,101.214,22.444
2372.634,325.826,42.527,10.8465,101.389,21.282
2372.736,320.988,45.671,10.829,102.892,19.817
2372.837,309.307,47.36,10.8115,104.707,18.539
2372.939,299.906,49.113,10.794,105.447,18.028
2373.041,294.922,50.921,10.7765,103.54,18.499
2373.142,292.711,54.649,10.759,98.684,19.636
2373.244,299.188,56.524,10.7415,93.168,20.79
2373.345,310.331,58.361,10.724,88.73,21.655
2373.447,313.331,60.116,10.7065,86.116,22.575
2373.548,310.234,63.179,10.689,85.237,24.014
